... building the model
... training
p=0.700000
epoch 137, minibatch 3296/3296, validation error 15.710383 %
epoch 138, minibatch 3296/3296, validation error 16.092896 %
epoch 139, minibatch 3296/3296, validation error 15.573770 %
epoch 140, minibatch 3296/3296, validation error 15.368852 %
epoch 141, minibatch 3296/3296, validation error 15.778689 %
epoch 142, minibatch 3296/3296, validation error 15.683060 %
epoch 143, minibatch 3296/3296, validation error 15.286885 %
epoch 144, minibatch 3296/3296, validation error 15.901639 %
epoch 145, minibatch 3296/3296, validation error 15.860656 %
epoch 146, minibatch 3296/3296, validation error 15.587432 %
epoch 147, minibatch 3296/3296, validation error 15.437158 %
epoch 148, minibatch 3296/3296, validation error 15.642077 %
epoch 149, minibatch 3296/3296, validation error 15.054645 %
     epoch 149, minibatch 3296/3296, test error of best model 16.483474 %
epoch 150, minibatch 3296/3296, validation error 15.013661 %
     epoch 150, minibatch 3296/3296, test error of best model 16.229823 %
epoch 151, minibatch 3296/3296, validation error 15.095628 %
epoch 152, minibatch 3296/3296, validation error 15.136612 %
epoch 153, minibatch 3296/3296, validation error 15.956284 %
epoch 154, minibatch 3296/3296, validation error 15.587432 %
epoch 155, minibatch 3296/3296, validation error 15.792350 %
epoch 156, minibatch 3296/3296, validation error 15.860656 %
epoch 157, minibatch 3296/3296, validation error 15.505464 %
epoch 158, minibatch 3296/3296, validation error 15.519126 %
epoch 159, minibatch 3296/3296, validation error 15.423497 %
epoch 160, minibatch 3296/3296, validation error 15.286885 %
epoch 161, minibatch 3296/3296, validation error 15.204918 %
epoch 162, minibatch 3296/3296, validation error 15.382514 %
epoch 163, minibatch 3296/3296, validation error 15.054645 %
epoch 164, minibatch 3296/3296, validation error 15.423497 %
epoch 165, minibatch 3296/3296, validation error 15.765027 %
epoch 166, minibatch 3296/3296, validation error 14.371585 %
     epoch 166, minibatch 3296/3296, test error of best model 16.279785 %
epoch 167, minibatch 3296/3296, validation error 15.218579 %
epoch 168, minibatch 3296/3296, validation error 15.191257 %
epoch 169, minibatch 3296/3296, validation error 14.685792 %
epoch 170, minibatch 3296/3296, validation error 15.437158 %
epoch 171, minibatch 3296/3296, validation error 15.218579 %
epoch 172, minibatch 3296/3296, validation error 15.191257 %
